[31/08/2014 17:56:36] /i 12227
[31/08/2014 17:56:37] /i 12227
[31/08/2014 17:56:38] /i 12227
[31/08/2014 17:56:38] /i 12227
[31/08/2014 17:56:38] /i 12227
[31/08/2014 17:56:43] /i 12227
[31/08/2014 17:57:05] /i shiny larvitar
[31/08/2014 18:02:05] /i shiny electabuzz
[31/08/2014 18:02:08] /i shiny electabuzz,50
[31/08/2014 18:02:33] /i 2160
[31/08/2014 18:02:33] /i 2160
[31/08/2014 18:02:34] /i 2160
[31/08/2014 18:02:34] /i 2160
[31/08/2014 18:02:34] /i 2160
[31/08/2014 18:03:25] /i ultra ball
[31/08/2014 18:03:26] /i ultra ball
[31/08/2014 18:03:26] /i ultra ball
[31/08/2014 18:03:44] /i electivire,22
[31/08/2014 18:03:48] /i electivire,22
[31/08/2014 18:04:06] /i shiny electivire,22
[31/08/2014 18:04:18] /i Shiny Electivire,22
[31/08/2014 18:04:23] /i Shiny Electivire ,22
[31/08/2014 18:04:25] /i Shiny Electivire ,2
[31/08/2014 18:04:26] /i Shiny Electivire ,
[31/08/2014 18:04:28] /i Shiny Electivire
[31/08/2014 18:04:54] /i x-attack t7
[31/08/2014 18:05:03] /i y-regeneration t7
[31/08/2014 18:05:31] /m shiny gyarados
[31/08/2014 18:05:31] /m shiny gyarados
[31/08/2014 18:05:32] /m shiny gyarados
[31/08/2014 18:05:32] /m shiny gyarados
[31/08/2014 18:05:33] /m shiny gyarados
[31/08/2014 18:05:33] /m shiny gyarados
[31/08/2014 18:05:34] /m shiny gyarados
[31/08/2014 18:05:34] /m shiny gyarados
[31/08/2014 18:05:35] /m shiny gyarados
[31/08/2014 18:05:35] /m shiny gyarados
[31/08/2014 18:05:35] /m shiny gyarados
[31/08/2014 18:05:35] /m shiny gyarados
[31/08/2014 18:05:36] /m shiny gyarados
[31/08/2014 18:05:36] /m shiny gyarados
[31/08/2014 18:05:36] /m shiny gyarados
[31/08/2014 18:05:37] /m shiny gyarados
[31/08/2014 18:05:37] /m shiny gyarados
[31/08/2014 18:05:37] /m shiny gyarados
[31/08/2014 18:05:38] /m shiny gyarados
[31/08/2014 18:05:38] /m shiny gyarados
[31/08/2014 18:05:38] /m shiny gyarados
[31/08/2014 18:05:39] /m shiny gyarados
[31/08/2014 18:05:39] /m shiny gyarados
[31/08/2014 18:05:39] /m shiny gyarados
[31/08/2014 18:05:40] /m shiny gyarados
[31/08/2014 18:05:40] /m shiny gyarados
[31/08/2014 18:05:40] /m shiny gyarados
[31/08/2014 18:05:41] /m shiny gyarados
[31/08/2014 18:05:41] /m shiny gyarados
[31/08/2014 18:05:42] /m shiny gyarados
[31/08/2014 18:05:42] /m shiny gyarados
[31/08/2014 18:05:42] /m shiny gyarados
[31/08/2014 18:05:43] /m shiny gyarados
[31/08/2014 18:05:43] /m shiny gyarados
[31/08/2014 18:05:43] /m shiny gyarados
[31/08/2014 18:05:44] /m shiny gyarados
[31/08/2014 18:05:44] /m shiny gyarados
[31/08/2014 18:05:44] /m shiny gyarados
[31/08/2014 18:05:45] /m shiny gyarados
[31/08/2014 18:05:45] /m shiny gyarados
[31/08/2014 18:05:46] /m shiny gyarados
[31/08/2014 18:05:46] /m shiny gyarados
[31/08/2014 18:05:46] /m shiny gyarados
[31/08/2014 18:05:47] /m shiny gyarados
[31/08/2014 18:05:47] /m shiny gyarados
[31/08/2014 18:05:48] /m shiny gyarados
[31/08/2014 18:05:49] /i y-regeneration t7
[31/08/2014 18:05:49] /i y-regeneration t7
[31/08/2014 18:05:50] /i y-regeneration t7
[31/08/2014 18:05:50] /i y-regeneration t7
[31/08/2014 18:05:51] /m shiny gyarados
[31/08/2014 18:05:52] /m shiny gyarados
[31/08/2014 18:05:52] /m shiny gyarados
[31/08/2014 18:05:53] /m shiny gyarados
[31/08/2014 18:05:53] /m shiny gyarados
