[04/07/2014 08:42:35] /attr group 2
[04/07/2014 08:42:52] /ghost
[04/07/2014 08:42:53] /t
[04/07/2014 08:43:13] /goto Crystal Onix
[04/07/2014 08:43:16] /goto Shiny Onix
[04/07/2014 08:43:41] /r
[04/07/2014 08:43:46] /s Shiny Weezing
[04/07/2014 08:43:54] /t
[04/07/2014 08:44:05] /ghost
[04/07/2014 08:44:06] /ghost
[04/07/2014 08:44:41] /newtype 14476
[04/07/2014 08:44:42] /newtype 14474
[04/07/2014 08:44:47] /newtype 1265
[04/07/2014 08:44:50] /newtype 17
[04/07/2014 08:44:53] /newtype 19
[04/07/2014 08:44:56] /newtype 79
[04/07/2014 08:45:01] /newtype 67
[04/07/2014 08:45:04] /newtype 106
[04/07/2014 08:45:07] /newtype 1003
[04/07/2014 08:45:10] /newtype 1004
[04/07/2014 08:45:11] /newtype 1005
[04/07/2014 08:45:14] /newtype 1006
[04/07/2014 08:45:15] /newtype 1007
[04/07/2014 08:45:17] /newtype 1008
[04/07/2014 08:45:18] /newtype 1009
[04/07/2014 08:45:20] /newtype 1010
[04/07/2014 08:45:23] /newtype 1011
[04/07/2014 08:45:25] /newtype 1012
[04/07/2014 08:45:29] /newtype 1013
[04/07/2014 08:45:30] /newtype 1014
[04/07/2014 08:45:32] /newtype 1015
[04/07/2014 08:45:33] /newtype 1016
[04/07/2014 08:45:35] /newtype 1017
[04/07/2014 08:45:37] /newtype 1018
[04/07/2014 08:45:38] /newtype 1019
[04/07/2014 08:45:42] /newtype 1020
[04/07/2014 08:45:43] /newtype 1021
[04/07/2014 08:45:44] /newtype 1022
[04/07/2014 08:45:46] /newtype 1023
[04/07/2014 08:45:47] /newtype 1024
[04/07/2014 08:45:48] /newtype 1025
[04/07/2014 08:45:50] /newtype 1026
[04/07/2014 08:45:52] /newtype 1030
[04/07/2014 08:45:54] /newtype 1018
[04/07/2014 08:45:56] /newtype 1019
[04/07/2014 08:45:59] /newtype 1017
[04/07/2014 08:46:04] /newtype 1066
[04/07/2014 08:46:06] /newtype 1083
[04/07/2014 08:46:08] /newtype 1084
[04/07/2014 08:46:09] /newtype 1085
[04/07/2014 08:46:10] /newtype 1086
[04/07/2014 08:46:12] /newtype 1200
[04/07/2014 08:46:14] /newtype 1203
[04/07/2014 08:46:16] /newtype 1275
[04/07/2014 08:46:19] /newtype 1375
[04/07/2014 08:46:21] /newtype 1370
[04/07/2014 08:46:25] /newtype 1390
[04/07/2014 08:46:31] /newtype 14600
[04/07/2014 08:46:35] /newtype 1406
[04/07/2014 08:46:40] /newtype 15
[04/07/2014 08:46:42] /newtype 14
[04/07/2014 08:46:45] /newtype 17
[04/07/2014 08:46:46] /newtype 16
[04/07/2014 08:47:09] /bc Green Bugs reportem no ctrl+r
[04/07/2014 08:47:39] /goto Myron
[04/07/2014 08:47:44] /goto Tmartn
[04/07/2014 08:48:26] /goto Shibalt
[04/07/2014 08:48:35] /goto Sir Only Friends
[04/07/2014 08:48:54] /goto Malote
[04/07/2014 08:50:29] /goto Nicko
[04/07/2014 08:51:00] /goto Matheus top
[04/07/2014 08:52:03] /goto Kami
[04/07/2014 08:52:11] /goto Kami
[04/07/2014 08:52:46] /goto Kami
[04/07/2014 08:53:21] /goto Kami
[04/07/2014 08:53:36] /up
[04/07/2014 08:53:44] /t
[04/07/2014 08:54:19] /s Aerodactyl
